SKEM25,35.28477,-6.06212,1,2,2
SKEM26,35.2794, -6.0664 ,1,2,2
SKEM3,35.2794, -6.0664 ,1,2,2
SKEM4,35.2794, -6.0664 ,1,2,2
SKEM5,35.2794, -6.0664 ,1,2,2
SKEM6,35.2794, -6.0664 ,1,2,2
SKEM7,35.2794, -6.0664 ,1,2,2
SKEM8,35.2794, -6.0664 ,1,2,2
SKEM9,35.2794, -6.0664 ,1,2,2
SKTN1,35.3971, -5.9661,1,2,2
SKTN2,35.3971, -5.9661,1,2,2
SOUI1,32.032,-9.34059,5,1,1
SOUI10,32.032,-9.34059,5,1,1
SOUI11,32.032,-9.34059,5,1,1
SOUI12,32.032,-9.34059,5,1,1
SOUI13,32.032,-9.34059,5,1,1
SOUI14,32.032,-9.34059,5,1,1
SOUI15,32.032,-9.34059,5,1,1
SOUI16,32.032,-9.34059,5,1,1
SOUI17,32.032,-9.34059,5,1,1
SOUI18,32.032,-9.34059,5,1,1
SOUI19,32.032,-9.34059,5,1,1
SOUI2,32.032,-9.34059,5,1,1
SOUI20,32.032,-9.34059,5,1,1
SOUI21,32.032,-9.34059,5,1,1
SOUI22,32.032,-9.34059,5,1,1
SOUI3,32.032,-9.34059,5,1,1
SOUI4,32.032,-9.34059,5,1,1
SOUI5,32.032,-9.34059,5,1,1
SOUI6,32.032,-9.34059,5,1,1
SOUI7,32.032,-9.34059,5,1,1
SOUI8,32.032,-9.34059,5,1,1
SOUI9,32.032,-9.34059,5,1,1
